TICKER,NAME,SECTEUR,PEA-PME,ISIN,INDICE,HREF_BOURSEDIRECT,HREF_RENDEMENTBOURSE
ERA,Eramet,Matériaux,0,FR0000131757,CAC_MID_60,eramet-FR0000131757-ERA-EUR-XPAR,/era-eramet
EL,EssilorLuxottica,Santé,0,FR0000121667,CAC_40,essilorluxottica-FR0000121667-EL-EUR-XPAR,/el-essilorluxottica-sa
ES,Esso S.A.F.,Energie,0,FR0000120669,CAC_SMALL,esso-s-a-f-FR0000120669-ES-EUR-XPAR,/es-esso
RF,Eurazeo SE,Finance,0,FR0000121121,CAC_MID_60,eurazeo-se-FR0000121121-RF-EUR-XPAR,/rf-eurazeo
EAPI,EUROAPI,Santé,0,FR0014008VX5,CAC_MID_60,euroapi-FR0014008VX5-EAPI-EUR-XPAR,/eapi-euroapi-sa
ERF,Eurofins Scientific SE,Santé,0,FR0014000MR3,CAC_40,eurofins-scientific-se-FR0014000MR3-ERF-EUR-XPAR,/erf-eurofins-scient
ETL,Eutelsat Communications,Technologies,1,FR0010221234,CAC_MID_60,eutelsat-communications-FR0010221234-ETL-EUR-XPAR,/etl-eutelsat-communication
EXA,Exail Technologies,Industrie,1,FR0000062671,CAC_SMALL,exail-technologies-FR0000062671-EXA-EUR-XPAR,/exa-exail-technologies
FNAC,Fnac Darty,Consommation discrétionnaire,0,FR0011476928,CAC_MID_60,fnac-darty-FR0011476928-FNAC-EUR-XPAR,/fnac-fnac-darty
FORSE,Forsee Power,Industrie,1,FR0014005SB3,CAC_SMALL,forsee-power-FR0014005SB3-FORSE-EUR-XPAR,/forse-forsee-power
FRVIA,Forvia,Consommation discrétionnaire,0,FR0000121147,CAC_NEXT_20,forvia-se-FR0000121147-FRVIA-EUR-XPAR,/frvia-forvia
FDE,La Française de l'Energie,Energie,1,FR0013030152,CAC_SMALL,la-francaise-de-l-energie-FR0013030152-FDE-EUR-XPAR,/fde-francaise-energie
GFC,GECINA,Immobilier,0,FR0010040865,CAC_NEXT_20,gecina-FR0010040865-GFC-EUR-XPAR,/gfc-gecina-nom
GNFT,GENFIT,Santé,1,FR0004163111,CAC_SMALL,genfit-FR0004163111-GNFT-EUR-XPAR,/gnft-genfit
SIGHT,GenSight Biologics S.A.,Santé,1,FR0013183985,CAC_SMALL,gensight-biologics-s-a-FR0013183985-SIGHT-EUR-XPAR,/sight-gensight-biologics
GET,Getlink SE,Industrie,0,FR0010533075,CAC_NEXT_20,getlink-se-FR0010533075-GET-EUR-XPAR,/get-getlink-se
GLO,GL events,Industrie,1,FR0000066672,CAC_SMALL,gl-events-FR0000066672-GLO-EUR-XPAR,/glo-gl-events-sa
GRVO,Graines Voltz S.A.,Matériaux,1,FR0000065971,CAC_SMALL,graines-voltz-s-a-FR0000065971-GRVO-EUR-XPAR,/grvo-voltz-graines
SFPI,Groupe SFPI,Industrie,1,FR0004155000,CAC_SMALL,groupe-sfpi-FR0004155000-SFPI-EUR-XPAR,/sfpi-groupe-sfpi
GTT,Gaztransport & Technigaz,Energie,0,FR0011726835,CAC_MID_60,gaztransport-technigaz-FR0011726835-GTT-EUR-XPAR,/gtt-gaztransport-technigaz
GBT,Guerbet,Santé,1,FR0000032526,CAC_SMALL,guerbet-FR0000032526-GBT-EUR-XPAR,/gbt-guerbet
GUI,Guillemot Corporation,Technologies,0,FR0000066722,CAC_SMALL,guillemot-corporation-FR0000066722-GUI-EUR-XPAR,/gui-guillemot
PIG,Haulotte Group,Industrie,0,FR0000066755,CAC_SMALL,haulotte-group-FR0000066755-PIG-EUR-XPAR,/pig-haulotte-group
RMS,Hermès International,Consommation discrétionnaire,0,FR0000052292,CAC_40,hermes-international-FR0000052292-RMS-EUR-XPAR,/rms-hermes-international
HCO,HighCo,Télécommunications,1,FR0000054231,CAC_SMALL,highco-FR0000054231-HCO-EUR-XPAR,/hco-highco-sa
HDF,Hydrogène de France,Services aux collectivités,1,FR0014003VY4,CAC_SMALL,hydrogene-de-france-FR0014003VY4-HDF-EUR-XPAR,/hdf-hydrogene-france
ICAD,ICADE,Immobilier,0,FR0000035081,CAC_MID_60,icade-FR0000035081-ICAD-EUR-XPAR,/icad-icade
IDL,ID Logistics Group,Industrie,0,FR0010929125,CAC_MID_60,id-logistics-group-FR0010929125-IDL-EUR-XPAR,/idl-id-logistics-group
NK,Imerys,Matériaux,0,FR0000120859,CAC_MID_60,imerys-FR0000120859-NK-EUR-XPAR,/nk-imerys-sa
IPH,Innate Pharma,Santé,1,FR0010331421,CAC_SMALL,innate-pharma-FR0010331421-IPH-EUR-XPAR,/iph-innate-pharma
ITP,Interparfums,Consommation de base,0,FR0004024222,CAC_MID_60,interparfums-FR0004024222-ITP-EUR-XPAR,/itp-interparfums
